minute,mid,bid,ask,signal,quoted_bid,quoted_ask,inventory,cash,execution,pnl
39,94.82437200049154,94.79937200049153,94.84937200049154,0.9879957412768331,94.81913191531707,94.86913191531708,-3,286.48339350416273,,2.0102775026880977
40,94.2627563088931,94.2377563088931,94.28775630889311,-0.9868274005662832,94.21801976088177,94.26801976088178,-3,286.48339350416273,,3.6951245774834547
41,93.53633915518536,93.51133915518535,93.56133915518537,-0.9942267906869419,93.49145461937161,93.54145461937162,-3,286.48339350416273,,5.87437603860667
42,94.2998124209484,94.2748124209484,94.3248124209484,-0.7881012258311232,94.25905039643177,94.30905039643179,-3,286.48339350416273,,3.583956241317537
43,92.59364876711584,92.56864876711583,92.61864876711584,-0.9978601016591798,92.54869156508265,92.59869156508266,-3,286.48339350416273,,8.702447202815222
44,93.82091810281807,93.79591810281806,93.84591810281808,-0.893735648721713,93.77804338984363,93.82804338984364,-3,286.48339350416273,,5.0206391957084975
45,93.1587278632772,93.1337278632772,93.18372786327721,-0.9358323432426667,93.11501121641234,93.16501121641235,-3,286.48339350416273,,7.007209914331099
46,92.53009892020228,92.50509892020227,92.55509892020228,-0.862824343950995,92.48784243332325,92.53784243332326,-4,379.021235937486,sell,8.900840256676872
47,91.03606104824097,91.01106104824096,91.06106104824097,-0.9964521555775292,90.99113200512942,91.04113200512943,-4,379.021235937486,,14.876991744522115
48,90.86659779214442,90.84159779214441,90.89159779214442,-0.8690221087572463,90.82421734996927,90.87421734996929,-4,379.021235937486,,15.55484476890831
49,90.64956471727395,90.62456471727394,90.67456471727395,-0.9929842260530909,90.60470503275288,90.65470503275289,-4,379.021235937486,,16.422977068390196
50,91.17254510326975,91.14754510326975,91.19754510326976,-0.9906314534687929,91.12773247420037,91.17773247420038,-4,379.021235937486,,14.331055524406963
51,90.2006717301313,90.1756717301313,90.22567173013131,-0.999990317223431,90.15567192378683,90.20567192378684,-4,379.021235937486,,18.218549016960765
52,89.74388817956277,89.71888817956277,89.76888817956278,-0.9799422068198909,89.69928933542637,89.74928933542638,-4,379.021235937486,,20.04568321923489
53,88.11122147736502,88.08622147736502,88.13622147736503,-0.9822161279073114,88.06657715480686,88.11657715480688,-4,379.021235937486,,26.5763500280259
54,88.20328921458523,88.17828921458522,88.22828921458523,-0.9522060979866445,88.15924509262548,88.2092450926255,-4,379.021235937486,,26.20807907914508
55,88.35604820763876,88.33104820763876,88.38104820763877,-0.9938154757260136,88.31117189812424,88.36117189812425,-4,379.021235937486,,25.597043106930926
56,88.88168691545476,88.85668691545476,88.90668691545477,-0.9604849316459211,88.83747721682184,88.88747721682185,-4,379.021235937486,,23.494488275666924
